"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","cohort","significant"
0.0832960380500002,0.507991125555556,1.01511928347913,0.333660412379474,0.699603383189702,-4.9386126412919,"8430419L09Rik","GSE41345",FALSE
-0.0765015157500007,1.23366243233333,-1.54393504868197,0.153219106986859,0.580042267756514,-4.4584362063996,"9030624J02Rik","GSE41345",FALSE
0.01194192755,0.279808894555556,0.233174460138658,0.82026603539278,0.940564260228692,-5.33204888996489,"9130011E15Rik","GSE41345",FALSE
-0.11595236755,-0.0146832697777777,-1.53797769969232,0.154655695029886,0.580042267756514,-4.46451027808997,"9430015G10Rik","GSE41345",FALSE
0.22765906225,1.44948687344444,3.4615357606051,0.00598465413060684,0.537623773850961,-2.29025919821586,"9530068E07Rik","GSE41345",FALSE
-0.1393338369,0.133773317666667,-2.24061572361749,0.0486046523411505,0.551749088057453,-3.68756593168147,"9530077C05Rik","GSE41345",FALSE
-0.0454256227499981,2.54589087733334,-0.618279261515568,0.550027281926832,0.813829637516672,-5.19490624463557,"A230050P20Rik","GSE41345",FALSE
-0.0359757950500001,-0.261121957444444,-0.238302632353805,0.816393553410769,0.938944282423601,-5.33101801210943,"A330021E22Rik","GSE41345",FALSE
-0.1881540404,1.30792538944444,-1.76655779548474,0.107337626543503,0.573793150721065,-4.22349407624575,"A430005L14Rik","GSE41345",FALSE
-0.144538995350007,2.11143266111111,-1.81422404025855,0.0993013972454459,0.573793150721065,-4.17143241530583,"A730017C20Rik","GSE41345",FALSE
-0.0673191175500005,0.369036672,-0.676435868733257,0.513898588392241,0.79790350408315,-5.16415129325911,"AA415398","GSE41345",FALSE
-0.1145798097,0.396790907333333,-1.96548098752422,0.0773308013674621,0.570032513007941,-4.00300019400355,"Aaas","GSE41345",FALSE
0.00207940004999973,1.609083943,0.0364564562043564,0.971626199542625,0.994556490641638,-5.35473925074513,"Aacs","GSE41345",FALSE
-0.0149531119000001,2.22947176488889,-0.208961574172344,0.838616773789704,0.947136437588345,-5.33661690499838,"Aak1","GSE41345",FALSE
0.107108708700002,2.33214790633333,1.5124810924546,0.160937942571658,0.582216674597469,-4.49036594466597,"Aamp","GSE41345",FALSE
-0.029215531899999,0.440297844555556,-0.441622804505145,0.668031964966046,0.870617866134646,-5.27256714563466,"Aard","GSE41345",FALSE
0.0517313170000019,2.30260402144444,0.848639490924078,0.415668203320019,0.741776913579799,-5.05894514025487,"Aars","GSE41345",FALSE
-0.00246726170000048,1.05902149244444,-0.0473466091103104,0.963156626050292,0.992214575615907,-5.35434761794698,"Aarsd1","GSE41345",FALSE
-0.119552610049999,0.541513503444444,-1.35089999731354,0.206103056961421,0.60599416791512,-4.64848307677267,"Aatf","GSE41345",FALSE
0.137919610699995,3.48603376755555,1.42814154775106,0.183321828097216,0.590993588481768,-4.57418906779808,"Aatk","GSE41345",FALSE
-0.349680396149996,2.985348705,-3.19759522087023,0.00937025385817537,0.537623773850961,-2.58102744433147,"Abat","GSE41345",FALSE
0.107067501649999,0.447385407888889,1.18128206340704,0.264457718909562,0.6436898197403,-4.80225351694877,"Abca2","GSE41345",FALSE
0.0908699588,0.751229024555556,1.07827789979196,0.305894277097518,0.678724210086633,-4.88858392347263,"Abca3","GSE41345",FALSE
0.1103476457,-0.0919568141111112,0.911084326553911,0.383400693390678,0.730086829836255,-5.01584971241866,"Abca7","GSE41345",FALSE
-0.0139447404000003,0.0881881490000001,-0.160215421493959,0.87585844165552,0.964752505220717,-5.34430903408779,"Abcb10","GSE41345",FALSE
0.0390237408000003,0.167148614,0.570345593150788,0.580861763702929,0.828738955594799,-5.21835766835162,"Abcb4","GSE41345",FALSE
0.03457784225,0.107449849888889,0.702593929435791,0.498122219237361,0.792438596723663,-5.14951205967852,"Abcb6","GSE41345",FALSE
-0.00475719749999999,0.43738562,-0.0542725034415445,0.957772591419453,0.990568817932501,-5.35404562677151,"Abcb8","GSE41345",FALSE
-0.006230400100001,1.93021206888889,-0.0698568399407152,0.945666234618757,0.986441609221544,-5.3532157054319,"Abcb9","GSE41345",FALSE
-0.0551132024000004,-0.279230834222222,-0.555165723837892,0.590818526941514,0.834125932633274,-5.22542051973763,"Abcc10","GSE41345",FALSE
-0.105037977200001,0.948462998777778,-1.56734597599358,0.147686407382742,0.580042267756514,-4.43444897154228,"Abcc5","GSE41345",FALSE
-0.10300774105,1.34613098655556,-1.34095164153601,0.209203233990788,0.607336039288225,-4.65786835318603,"Abcd3","GSE41345",FALSE
-0.0855572726500004,-0.0603759051111112,-0.656025748945971,0.526414229189043,0.804700502516018,-5.17522846158891,"Abce1","GSE41345",FALSE
0.197273345700001,2.37335991633333,2.07267210475583,0.064613052214955,0.564515411734788,-3.88121627919152,"Abcf1","GSE41345",FALSE
-0.0895057537500011,6.495369904,-0.515881886379586,0.61699894029136,0.84604722800647,-5.24287436337508,"Abcf2","GSE41345",FALSE
-0.0691660086000004,1.39289400933333,-1.28624074825572,0.226954090462324,0.620458769413808,-4.70869548016901,"Abcf3","GSE41345",FALSE
0.0223922811000001,0.177411271333333,0.342814068527409,0.738739628070549,0.905337532043689,-5.3052206972345,"Abcg1","GSE41345",FALSE
-0.0602379934500001,1.56730125866667,-0.777955656360131,0.454365927329014,0.765064230891559,-5.10461441067969,"Abcg4","GSE41345",FALSE
0.425750052500001,0.902991419555556,1.32536430503894,0.214138865039009,0.611496204072323,-4.67248608956132,"Abhd1","GSE41345",FALSE
0.04230097275,-0.0564119896666666,0.658451736622605,0.524917231330905,0.803849768830854,-5.17392777052749,"Abhd14a","GSE41345",FALSE
-0.104431222299999,1.63371048822222,-1.39472377588727,0.192901421426311,0.597673275028176,-4.60663525380286,"Abhd14b","GSE41345",FALSE
-0.20021709105,1.162953815,-2.33930944819928,0.0410596758450552,0.551749088057453,-3.57269445579072,"Abhd3","GSE41345",FALSE
-0.0873618775000001,0.515230272888889,-1.22517663608673,0.248208431608127,0.636522478598047,-4.76378267443757,"Abhd4","GSE41345",FALSE
-0.1016332964,0.382492076444444,-1.41632357160664,0.186662237615147,0.5916641510328,-4.58571508437761,"Abhd5","GSE41345",FALSE
0.00253730404999988,-0.133341515111111,0.0397316960215963,0.969078516140113,0.994315962745593,-5.35463216466461,"Abhd6","GSE41345",FALSE
