gene,log2FC_BaP_vs_Control,welch_p,n_bap,n_control,BH_p
Or12e13,0.17111019275,0.030126792455023463,4,4,0.7546611244456737
Gm412,-0.17665600725000002,0.030183407485009257,4,4,0.7546611244456737
Gm1965,-0.13435290625000001,0.030201793720656858,4,4,0.7546611244456737
Trim2,0.28047673162499986,0.030295317436820256,4,4,0.7546611244456737
Icos,0.192472906,0.03030216163498742,4,4,0.7546611244456737
Or52u1,-0.15604004825,0.030306632392505216,4,4,0.7546611244456737
Slc45a3,-0.172924379375,0.0303186381830883,4,4,0.7546611244456737
Sf3b6,0.1676963415,0.0303362432957713,4,4,0.7546611244456737
Serpina3h,-0.6571616385,0.030340360184493244,4,4,0.7546611244456737
Arid3a,-0.266614122,0.030438918561928815,4,4,0.7546611244456737
Tmem106b,0.18917346699999982,0.03046263402382405,4,4,0.7546611244456737
5530601H04Rik,0.150277957875,0.030467203052649085,4,4,0.7546611244456737
Arih2,0.1566280125,0.030468361192234755,4,4,0.7546611244456737
Ccnd1,-0.26341189474999993,0.030602502380773423,4,4,0.7546611244456737
Or2v1,0.25618981575,0.03060722150294893,4,4,0.7546611244456737
Ccdc43,0.2704491695,0.030706362203843485,4,4,0.7546611244456737
Gm32856,0.2192120609999999,0.030756474475777035,4,4,0.7546611244456737
Or5ar1,-0.29548145424999994,0.030785083373610286,4,4,0.7546611244456737
Ltbp2,-0.23506992824999973,0.030786763493814196,4,4,0.7546611244456737
Zfp518b,0.35333589200000004,0.03080558663865882,4,4,0.7546611244456737
Gm42420,0.109312358,0.03080786768726747,4,4,0.7546611244456737
Adck2,0.109312358,0.03080786768726747,4,4,0.7546611244456737
Mtfmt,-0.23871976824999996,0.03081590985202987,4,4,0.7546611244456737
Gm6634,-0.15029972475000009,0.030829532949291468,4,4,0.7546611244456737
Gm5893,-0.251446303,0.03087257912874519,4,4,0.7546611244456737
Prtg,0.16591831450000005,0.030939172053134425,4,4,0.7546611244456737
Gm13271,0.34638177800000003,0.03096717828508788,4,4,0.7546611244456737
Gm10109,0.14458107099999998,0.03111034630653101,4,4,0.7546611244456737
Gm74404,0.14458107099999998,0.03111034630653101,4,4,0.7546611244456737
Kcna7,0.1849069130000001,0.03111380440353257,4,4,0.7546611244456737
Gm57158,-0.432132978,0.031142235674890613,4,4,0.7546611244456737
Ptpn5,-0.18883904424999964,0.03114410713140783,4,4,0.7546611244456737
Mir7056,-0.18883904424999964,0.03114410713140783,4,4,0.7546611244456737
Fam53b,0.3345748366250001,0.031163082529761767,4,4,0.7546611244456737
Sp9,-0.28125616012500004,0.031168798512575605,4,4,0.7546611244456737
Seh1l,0.25720812424999995,0.031179503610906645,4,4,0.7546611244456737
Samd1,-0.16851604924999997,0.03128051883067596,4,4,0.7546611244456737
Lrrc63,-0.20466767425,0.03128226210891218,4,4,0.7546611244456737
Rpl26-ps2,-0.39017734074999977,0.03128628526577717,4,4,0.7546611244456737
Efhd1,0.4453809425000004,0.03129029970780497,4,4,0.7546611244456737
Nepro,-0.17585985049999997,0.03137610082444048,4,4,0.7546611244456737
Gm10766,-0.44034175574999995,0.03143433805404095,4,4,0.7546611244456737
Ppif,0.24854256449999998,0.031520039819187044,4,4,0.7546611244456737
Gm5590,-0.23118089775,0.03154446868858729,4,4,0.7546611244456737
Or8b49,-0.24503762775,0.031549680475311245,4,4,0.7546611244456737
Dgkh,0.24391680475000005,0.031586617393849596,4,4,0.7546611244456737
Rbm26,0.18882180850000002,0.031664407560603035,4,4,0.7546611244456737
Or2l13b,0.11038251824999999,0.03166812723960069,4,4,0.7546611244456737
Col6a1,-0.27156994075000007,0.03169849972612659,4,4,0.7546611244456737
Spem2,-0.6646435929999999,0.031749775463269625,4,4,0.7546611244456737
Nat8f1,0.30910130874999986,0.03176534094193261,4,4,0.7546611244456737
Vmp1,0.26213730774999977,0.03177205499711646,4,4,0.7546611244456737
Gm62454,-0.30859115812500004,0.031782926508333365,4,4,0.7546611244456737
Or10aa1,-0.17058857975,0.03181608904348883,4,4,0.7546611244456737
Dipk2a,0.508284805875,0.03190477035668802,4,4,0.7546611244456737
Drgx,-0.1236215935,0.031967481324272795,4,4,0.7546611244456737
Dgkz,0.46551350925000023,0.032010488846584216,4,4,0.7546611244456737
Ostm1,0.10213780687499985,0.03206410571187553,4,4,0.7546611244456737
Zfp943,-0.2167448985000001,0.03206542500517412,4,4,0.7546611244456737
