"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.31749650457417e-36,0.567581239484496,0.61,0.277,1.78338197770409e-31,"18","VSNL1"
5.35095618170357e-36,0.749508078794892,0.376,0.144,1.79460368421974e-31,"18","SYN1"
5.86852002924166e-36,0.671130308409669,0.624,0.308,1.96818424740707e-31,"18","CCDC92"
8.81368885220488e-36,0.558100059523723,0.939,0.642,2.95593496725247e-31,"18","PDE4DIP"
8.88112124651819e-36,0.860527182850743,0.361,0.136,2.97855044365727e-31,"18","SMARCD3"
9.1523175503252e-36,0.717190349631499,0.407,0.162,3.06950426002806e-31,"18","PIP5K1C"
1.38097139147399e-35,0.623710994212499,0.885,0.634,4.63150185272547e-31,"18","AKT3"
1.92662707405842e-35,0.666068228435728,0.556,0.254,6.46152188097714e-31,"18","CACNG2"
1.97947712747293e-35,0.568561880671142,0.641,0.32,6.63877039011871e-31,"18","TNPO1"
2.02193748523728e-35,0.52778759555297,0.829,0.453,6.78117393798878e-31,"18","SPTBN4"
2.13290008213781e-35,0.522223861459614,0.571,0.27,7.15332029547379e-31,"18","PLEKHM3"
2.34365867775735e-35,0.601487644055003,0.58,0.278,7.86016247346259e-31,"18","PARP8"
2.69880417795696e-35,0.622141822838408,0.885,0.571,9.05124945203206e-31,"18","LARGE1"
2.84465373301745e-35,0.786180754996978,0.439,0.187,9.54039968979393e-31,"18","NME5"
2.89139285301753e-35,0.771232992736963,0.456,0.195,9.6971533504502e-31,"18","ARPP19"
3.96212753657086e-35,0.939474698495945,0.468,0.205,1.32881833321514e-30,"18","ABCA10"
3.97126189864483e-35,0.861844781213526,0.368,0.144,1.3318818155675e-30,"18","RFLNA"
3.99463971712419e-35,0.758320287119643,0.429,0.179,1.33972226832911e-30,"18","PALM"
4.12114721138733e-35,1.00101649326191,0.344,0.128,1.38215035175508e-30,"18","C17orf51"
5.14852256219008e-35,0.615599188151416,0.678,0.338,1.72671149690731e-30,"18","ADAM23"
7.32114804739738e-35,0.915748067686133,0.29,0.099,2.45536663213613e-30,"18","RASAL1"
7.73479895814157e-35,0.606112161422109,0.373,0.14,2.59409687458152e-30,"18","SLIT3"
1.32699695744864e-34,0.853646499792044,0.361,0.139,4.45048239589126e-30,"18","UXS1"
1.33427498184859e-34,0.615301776119311,0.846,0.536,4.47489143412381e-30,"18","PPP3CA"
1.346987897735e-34,0.811350243292951,0.337,0.125,4.51752801142364e-30,"18","STX3"
1.37230919754636e-34,0.649755644592965,0.385,0.152,4.602450586731e-30,"18","LRP2BP"
1.72242418565435e-34,0.697022569567347,0.441,0.186,5.77666623384754e-30,"18","UTP23"
1.82038811298122e-34,0.789918990289225,0.39,0.157,6.1052176533164e-30,"18","EFCAB7"
1.82924983082337e-34,0.897897148423354,0.29,0.098,6.13493808261542e-30,"18","LINC00535"
