,GSM1412394,GSM1412395,GSM1412396,GSM1412397,GSM1412398,GSM1412399,GSM1412400,GSM1412401,GSM1412402,GSM1412403,GSM1412404,GSM1412405,GSM1412406,GSM1412407,GSM1412408,GSM1412409,GSM1412410,GSM1412411,GSM1412412,GSM1412413,GSM1412415,GSM1412417,GSM1412420,GSM1412422,GSM1015323,GSM1015324,GSM1015325,GSM1015326,GSM1015331,GSM1015332,GSM1015333,GSM1015334,GSM1015335
1110038F14Rik,6.99912863774555,6.7773289945574,6.66256834129157,6.89796661707027,6.71243118178109,6.91355178238018,6.80203966784661,6.91847509339694,6.63849085677424,6.83613983833814,6.76858148052228,6.88326946142835,6.54822422279414,6.89389316329508,7.88238199325422,7.25687078659728,7.38635303961798,7.27710925910105,7.56479075277287,7.32715650005527,7.31963661886315,7.52591491150954,7.42595441560964,7.45759512166281,6.78635331600248,7.23908017734705,7.18205743153977,7.16402144620107,7.38297680488559,6.66221486704837,7.24011374086436,7.11004453698659,6.75721520364652
1110057K04Rik,8.36350591571844,8.56091471768002,8.6001935116774,8.75208188775121,8.56887596237354,8.58556423455605,8.79528205409651,8.97352102982969,8.88522444083134,8.63526955964727,8.60993129904544,8.6600783616182,8.88276445754801,8.21356755347038,8.11063629709841,8.62746928460479,8.6241708177456,8.79522554415778,8.61753559606664,8.68483689874718,8.74962127694694,8.75665520787802,8.67776510776042,8.68338812878203,8.36907537405159,8.54495249464901,8.27952394422081,8.90518769601425,8.98831651198928,8.67982275743454,8.6341437129175,8.70026109998521,8.8162168190389
1110058L19Rik,8.40032543660235,8.62229828266387,8.61371956342708,8.56230056139679,8.59250013544312,8.70950577472614,8.74605643452371,8.63262553166297,8.70416540358078,8.671325098692,8.74624019490796,8.52890817787552,8.50111666563032,8.61598509082368,9.59330700598917,8.68577405821758,9.36939717067909,9.50038984081298,9.38589717144066,9.19856164385502,9.02663473233825,9.07646041645255,9.19062455138247,9.25903130670465,8.84327665273543,8.94020272444075,8.87366978454894,8.90241914543632,9.18263262958003,8.67854288776949,8.88374207769184,8.89761326774597,8.9271189739404
1110059E24Rik,7.50354355926206,7.76815987133351,7.70286833138328,7.59802957652145,7.55502594957927,7.58328980916545,7.61761114043809,7.48668533791284,7.5920418289479,7.70380435580421,7.70398510049031,7.61673666118224,7.47821038164706,7.57440850110789,8.68424314492021,7.6962096953134,8.1623138569112,8.14405851480424,8.33604102597929,8.21804451064845,7.94510468540051,7.82688618990226,8.20334396912066,8.02814080214612,7.59336394184996,7.83170639924099,7.60787461971901,7.98280765500271,8.40285841880765,8.01277885938134,7.64368301823168,7.80788418804773,7.93554236628311
1190002N15Rik,7.47842156309301,8.34840684571161,8.18348851887844,7.5854460777622,7.81386645078305,7.84595635739336,7.8967901254542,7.66443782927876,7.80687979853459,8.37052668552972,8.38942829566578,7.42528275453183,7.74941919416383,7.83941015851831,6.93338909345026,7.36689772788968,7.21965505075707,7.94755672425324,7.98992693412071,7.90025812559553,7.62377373988131,7.27321000474743,7.32961927453103,7.02454721918365,7.76154788479189,7.87811477866468,7.71389521036847,7.90851467238835,8.0408272472224,8.1265687123188,7.85525164429422,7.73400750595589,7.52511281838878
1190005I06Rik,5.35727754566159,5.83801113532273,5.7248918957533,5.34224701140377,5.37998498226982,5.4988834378994,5.46384012553986,5.53826196480628,5.94767523483231,5.80585046588357,5.72478245392107,5.16840574777542,4.98132977629638,5.69072448358723,5.10082237682775,5.77298275601725,5.19936341908596,6.09807097798218,6.07167625763552,5.89407505675762,5.62662070180493,5.77680920915514,5.75320425421623,5.97746936825515,5.85036380403634,5.90065674365773,5.93291518813791,5.543396518419,5.63147607330547,5.41579950111778,5.58565694461804,5.47762813259203,5.74538347590689
1200014J11Rik,6.50056757586716,6.48481729254744,6.56374452188796,6.69741091387911,6.58755248779013,6.6343780571916,6.65288669348215,6.74147892854754,6.61969783883605,6.68491333441887,6.68831539410937,6.90577309053452,6.82544614782783,6.41571223028954,6.03701932608729,6.50548694686399,6.30746321369479,5.70599127542638,6.34950319871987,6.39102278843835,6.28045432488753,6.36066833857031,6.39140715350498,6.16422315997667,6.34656604668745,6.37434155142712,6.35056764957245,6.34459069053663,6.4185539463559,6.43703314210314,6.6095829385932,6.52801511141201,6.79986257205654
1500012F01Rik,7.71651110702074,8.00344725913823,7.82581616105031,8.16197085225583,7.63894370872198,7.8393826670136,7.70809154998537,7.97917438731588,7.87351835211831,8.43594079252578,7.88590635485361,7.97378734340633,7.95408107014147,8.0044254476442,9.43907967308679,7.98272670741689,8.50035340366819,8.67420539446985,8.44772613737802,8.12385803142585,8.29067483177827,8.256299482889,8.90435515521125,8.80131795312237,8.25602541270388,8.30210179521047,8.13971244822116,8.38565919592108,8.06014099557498,7.5471430876676,8.49509663709013,8.0005372775592,8.49726147744635
1500015O10Rik,7.06456443317716,6.11898552192281,6.16409082857664,6.55234277691733,7.57119806682491,7.229390221282,7.27170476670568,7.33588218347353,7.21989790109376,7.83459166413495,6.49068237478561,7.66659946520681,7.42374936264017,7.04272030133755,9.2701070873535,7.37683299526675,8.66989913635394,7.25760778219843,8.94431858087354,7.76797271756927,8.90760447694915,7.15593912162057,8.66206417225549,8.31281618112574,8.08765835676865,8.34970452653632,8.24371295248832,5.97235504923238,8.57917043083103,7.89289238889189,6.96400567591159,5.84655834570612,7.22560628013382
1600002K03Rik,4.99333744098871,4.7555432371147,4.15928716680575,4.66176352275035,3.45562595001014,4.94736640400255,4.73453914609554,5.2623987364463,3.84918864298347,4.63599679679997,4.37378269948311,5.10798361312079,4.76185158727939,4.71159959482346,6.27889403279603,6.07300508577806,6.02365719206009,5.2696069595745,5.8844603653828,5.40422895799357,6.03061206436309,5.40929303482946,5.90566242392542,5.75511695780455,5.238693792172,4.90680302758434,5.29900870568002,4.62823414430321,5.09388390905107,4.90951009805131,5.23216990424709,4.83606385704323,5.42938792412404
